# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1553
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1553
DATA ascii
-0.0805381 0.1474467 1.301
-0.07806 0.1474467 1.301
-0.07558191 0.1474467 1.301
-0.07282285 0.14688 1.296
-0.07035428 0.14688 1.296
-0.06762381 0.1463133 1.291
-0.06496286 0.14586 1.287
-0.06251143 0.14586 1.287
-0.05982667 0.1452933 1.282
-0.05716095 0.1447267 1.277
-0.05451429 0.14416 1.272
-0.05209143 0.14416 1.272
-0.04966858 0.14416 1.272
-0.04709714 0.1437067 1.268
-0.0446819 0.1437067 1.268
-0.04226667 0.1437067 1.268
-0.03985143 0.1437067 1.268
-0.03743619 0.1437067 1.268
-0.03488285 0.14314 1.263
-0.03247714 0.14314 1.263
-0.03007143 0.14314 1.263
-0.02766571 0.14314 1.263
-0.02526 0.14314 1.263
-0.02285429 0.14314 1.263
-0.02044857 0.14314 1.263
-0.01804286 0.14314 1.263
-0.01569905 0.1437067 1.268
-0.01328381 0.1437067 1.268
-0.01086857 0.1437067 1.268
-0.008453334 0.1437067 1.268
-0.1157867 0.1539581 1.336
-0.1132419 0.1539581 1.336
-0.1102829 0.1533819 1.331
-0.1077476 0.1533819 1.331
-0.1052124 0.1533819 1.331
-0.1022914 0.1528057 1.326
-0.09901334 0.1516533 1.316
-0.09614 0.1510772 1.311
-0.09364286 0.1510772 1.311
-0.0907981 0.150501 1.306
-0.08831048 0.150501 1.306
-0.08582287 0.150501 1.306
-0.08333524 0.150501 1.306
-0.08084763 0.150501 1.306
-0.07806 0.1499248 1.301
-0.07558191 0.1499248 1.301
-0.07310382 0.1499248 1.301
-0.07035428 0.1493486 1.296
-0.06762381 0.1487724 1.291
-0.06516477 0.1487724 1.291
-0.06251143 0.1483114 1.287
-0.05982667 0.1477352 1.282
-0.05716095 0.1471591 1.277
-0.05451429 0.1465829 1.272
-0.05209143 0.1465829 1.272
-0.04966858 0.1465829 1.272
-0.04709714 0.1461219 1.268
-0.0446819 0.1461219 1.268
-0.04226667 0.1461219 1.268
-0.03969429 0.1455457 1.263
-0.03728857 0.1455457 1.263
-0.03477238 0.1450848 1.259
-0.03237429 0.1450848 1.259
-0.02997619 0.1450848 1.259
-0.02757809 0.1450848 1.259
-0.02518 0.1450848 1.259
-0.02285429 0.1455457 1.263
-0.02044857 0.1455457 1.263
-0.01804286 0.1455457 1.263
-0.01569905 0.1461219 1.268
-0.01332571 0.1465829 1.272
-0.01090286 0.1465829 1.272
-0.1157867 0.1565029 1.336
-0.1132419 0.1565029 1.336
-0.1102829 0.1559172 1.331
-0.1077476 0.1559172 1.331
-0.1052124 0.1559172 1.331
-0.1022914 0.1553314 1.326
-0.09938953 0.1547457 1.321
-0.09650667 0.15416 1.316
-0.09364286 0.1535743 1.311
-0.0907981 0.1529886 1.306
-0.08831048 0.1529886 1.306
-0.08582287 0.1529886 1.306
-0.08333524 0.1529886 1.306
-0.08084763 0.1529886 1.306
-0.07836001 0.1529886 1.306
-0.07587239 0.1529886 1.306
-0.07310382 0.1524029 1.301
-0.07062571 0.1524029 1.301
-0.06788571 0.1518171 1.296
-0.06516477 0.1512314 1.291
-0.06251143 0.1507629 1.287
-0.05982667 0.1501772 1.282
-0.05716095 0.1495914 1.277
-0.05451429 0.1490057 1.272
-0.05209143 0.1490057 1.272
-0.04966858 0.1490057 1.272
-0.04709714 0.1485371 1.268
-0.0446819 0.1485371 1.268
-0.04226667 0.1485371 1.268
-0.03969429 0.1479514 1.263
-0.03728857 0.1479514 1.263
-0.03477238 0.1474829 1.259
-0.03237429 0.1474829 1.259
-0.02997619 0.1474829 1.259
-0.02757809 0.1474829 1.259
-0.02518 0.1474829 1.259
-0.02285429 0.1479514 1.263
-0.02052952 0.1485371 1.268
-0.01811429 0.1485371 1.268
-0.01574857 0.1490057 1.272
-0.01332571 0.1490057 1.272
-0.01090286 0.1490057 1.272
-0.1188629 0.1597619 1.342
-0.1157867 0.1590476 1.336
-0.1128181 0.1584524 1.331
-0.1102829 0.1584524 1.331
-0.1077476 0.1584524 1.331
-0.1052124 0.1584524 1.331
-0.1022914 0.1578571 1.326
-0.09938953 0.1572619 1.321
-0.09650667 0.1566667 1.316
-0.09364286 0.1560714 1.311
-0.09114572 0.1560714 1.311
-0.08831048 0.1554762 1.306
-0.08582287 0.1554762 1.306
-0.08333524 0.1554762 1.306
-0.08084763 0.1554762 1.306
-0.07836001 0.1554762 1.306
-0.07587239 0.1554762 1.306
-0.07310382 0.154881 1.301
-0.07062571 0.154881 1.301
-0.06788571 0.1542857 1.296
-0.06516477 0.1536905 1.291
-0.06251143 0.1532143 1.287
-0.05982667 0.1526191 1.282
-0.05716095 0.1520238 1.277
-0.05451429 0.1514286 1.272
-0.05209143 0.1514286 1.272
-0.04966858 0.1514286 1.272
-0.04709714 0.1509524 1.268
-0.0446819 0.1509524 1.268
-0.04226667 0.1509524 1.268
-0.03969429 0.1503571 1.263
