# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
0.04299429 -0.1498286 1.368
0.0456 -0.1498286 1.368
0.04820571 -0.1498286 1.368
0.05081143 -0.1498286 1.368
0.05341714 -0.1498286 1.368
0.05602286 -0.1498286 1.368
0.05862857 -0.1498286 1.368
0.06150286 -0.1504857 1.374
0.06412 -0.1504857 1.374
0.06673715 -0.1504857 1.374
-0.01172571 -0.1472229 1.368
-0.009120001 -0.1472229 1.368
-0.006514286 -0.1472229 1.368
-0.003925715 -0.1478686 1.374
-0.001302857 -0.1472229 1.368
0.001302857 -0.1472229 1.368
0.003862857 -0.145501 1.352
0.006438096 -0.145501 1.352
0.009013334 -0.145501 1.352
0.01158857 -0.145501 1.352
0.01416381 -0.145501 1.352
0.01673905 -0.145501 1.352
0.01931429 -0.145501 1.352
0.02188952 -0.145501 1.352
0.02457333 -0.1461467 1.358
0.02716 -0.1461467 1.358
0.02974667 -0.1461467 1.358
0.03219048 -0.145501 1.352
0.03476572 -0.145501 1.352
0.03764476 -0.1466848 1.363
0.04024095 -0.1466848 1.363
0.04299429 -0.1472229 1.368
0.0456 -0.1472229 1.368
0.04820571 -0.1472229 1.368
0.05081143 -0.1472229 1.368
0.05341714 -0.1472229 1.368
0.05602286 -0.1472229 1.368
0.05862857 -0.1472229 1.368
0.06150286 -0.1478686 1.374
0.06412 -0.1478686 1.374
0.06673715 -0.1478686 1.374
0.06935429 -0.1478686 1.374
-0.01172571 -0.1446172 1.368
-0.00916 -0.1452514 1.374
-0.006542857 -0.1452514 1.374
-0.003925715 -0.1452514 1.374
-0.001308571 -0.1452514 1.374
0.001302857 -0.1446172 1.368
0.003862857 -0.1429257 1.352
0.006438096 -0.1429257 1.352
0.009013334 -0.1429257 1.352
0.01158857 -0.1429257 1.352
0.01416381 -0.1429257 1.352
0.01673905 -0.1429257 1.352
0.01931429 -0.1429257 1.352
0.02188952 -0.1429257 1.352
0.02457333 -0.14356 1.358
0.02716 -0.14356 1.358
0.02974667 -0.14356 1.358
0.03219048 -0.1429257 1.352
0.03476572 -0.1429257 1.352
0.03750667 -0.14356 1.358
0.04009333 -0.14356 1.358
0.04283714 -0.1440886 1.363
0.0456 -0.1446172 1.368
0.04820571 -0.1446172 1.368
0.05081143 -0.1446172 1.368
0.05341714 -0.1446172 1.368
0.05602286 -0.1446172 1.368
0.05862857 -0.1446172 1.368
0.06150286 -0.1452514 1.374
0.06412 -0.1452514 1.374
0.06673715 -0.1452514 1.374
0.06935429 -0.1452514 1.374
-0.00916 -0.1426343 1.374
-0.006542857 -0.1426343 1.374
-0.003925715 -0.1426343 1.374
-0.001308571 -0.1426343 1.374
0.001302857 -0.1420114 1.368
0.003908571 -0.1420114 1.368
0.006466667 -0.1409733 1.358
0.009053334 -0.1409733 1.358
0.01168286 -0.1414924 1.363
0.01422667 -0.1409733 1.358
0.01681333 -0.1409733 1.358
0.0194 -0.1409733 1.358
0.02198667 -0.1409733 1.358
0.02457333 -0.1409733 1.358
0.02716 -0.1409733 1.358
0.02974667 -0.1409733 1.358
0.03219048 -0.1403505 1.352
0.03476572 -0.1403505 1.352
0.03734095 -0.1403505 1.352
0.04009333 -0.1409733 1.358
0.04283714 -0.1414924 1.363
0.0456 -0.1420114 1.368
0.04820571 -0.1420114 1.368
0.05081143 -0.1420114 1.368
0.05341714 -0.1420114 1.368
0.05602286 -0.1420114 1.368
0.05862857 -0.1420114 1.368
0.06150286 -0.1426343 1.374
0.06412 -0.1426343 1.374
0.06673715 -0.1426343 1.374
0.06960667 -0.1431533 1.379
0.07223333 -0.1431533 1.379
-0.003925715 -0.1400172 1.374
-0.001308571 -0.1400172 1.374
0.001302857 -0.1394057 1.368
0.003894286 -0.1388962 1.363
0.006490476 -0.1388962 1.363
0.009086667 -0.1388962 1.363
0.01168286 -0.1388962 1.363
0.01422667 -0.1383867 1.358
0.01681333 -0.1383867 1.358
0.0194 -0.1383867 1.358
0.02198667 -0.1383867 1.358
0.02457333 -0.1383867 1.358
0.02716 -0.1383867 1.358
0.02974667 -0.1383867 1.358
0.03219048 -0.1377753 1.352
0.03476572 -0.1377753 1.352
0.03734095 -0.1377753 1.352
0.04009333 -0.1383867 1.358
0.04283714 -0.1388962 1.363
0.0456 -0.1394057 1.368
0.04820571 -0.1394057 1.368
0.05081143 -0.1394057 1.368
0.05341714 -0.1394057 1.368
0.05602286 -0.1394057 1.368
0.05862857 -0.1394057 1.368
0.06150286 -0.1400172 1.374
0.06412 -0.1400172 1.374
0.06673715 -0.1400172 1.374
0.06935429 -0.1400172 1.374
0.07197143 -0.1400172 1.374
0.003894286 -0.1363 1.363
0.006490476 -0.1363 1.363
0.009086667 -0.1363 1.363
0.01168286 -0.1363 1.363
0.01427905 -0.1363 1.363
0.01681333 -0.1358 1.358
0.0194 -0.1358 1.358
0.02198667 -0.1358 1.358
0.02457333 -0.1358 1.358
0.02716 -0.1358 1.358
0.02974667 -0.1358 1.358
0.03219048 -0.1352 1.352
0.03476572 -0.1352 1.352
0.03734095 -0.1352 1.352
0.04009333 -0.1358 1.358
0.04283714 -0.1363 1.363
0.0456 -0.1368 1.368
0.04820571 -0.1368 1.368
0.05081143 -0.1368 1.368
0.05341714 -0.1368 1.368
0.05602286 -0.1368 1.368
0.05862857 -0.1368 1.368
0.06150286 -0.1374 1.374
0.06412 -0.1374 1.374
0.06673715 -0.1374 1.374
